hour,node_id,floor,node_category,node_name,flow
19,MU-A-CENTER-E,MU,Unknown_Area,Unlabeled center-east anchor area,49
19,MU-A-SW,MU,Unknown_Area,Unlabeled southwest anchor area,35
19,MU-ENT-NORTH,MU,Entrance,North vertical entry / exit,189
19,MU-ENT-WEST,MU,Entrance,West entry / exit,140
19,MU-ENT-EAST,MU,Entrance,East entry / exit,151
19,MU-ENT-SOUTHWEST,MU,Entrance,Southwest entry / exit,165
19,L1-C-WEST-ATRIUM,L1,Corridor,West atrium corridor,1633
19,L1-C-WEST-MAIN,L1,Corridor,West main corridor,1309
19,L1-C-SOUTHWEST,L1,Corridor,Southwest lower corridor,1151
19,L1-C-CENTRAL-COURT,L1,Corridor,Central court corridor,2846
19,L1-C-CENTRAL-SPINE,L1,Corridor,Central spine corridor,1767
19,L1-C-HOTEL-LINK,L1,Corridor,Mandarin Oriental link corridor,278
19,L1-C-EAST-HUB,L1,Corridor,East hub corridor,941
19,L1-C-EAST-WING,L1,Corridor,East wing corridor,250
19,L1-C-SOUTHEAST,L1,Corridor,Southeast lower corridor,265
19,L1-L119,L1,Retail,L119,213
19,L1-L118,L1,Retail,L118,229
19,L1-L117,L1,Retail,L117,231
19,L1-L116,L1,Retail,L116,458
19,L1-L115,L1,Retail,L115,322
19,L1-L114,L1,Retail,L114,796
19,L1-L113,L1,Retail,L113,502
19,L1-L112,L1,Retail,L112,553
19,L1-L111,L1,Retail,L111,686
19,L1-L110,L1,Retail,L110,181
19,L1-L109,L1,Retail,L109,312
19,L1-L108,L1,Retail,L108,271
19,L1-L108A,L1,Retail,L108a,237
19,L1-L1H-1,L1,Retail,L1H(1),128
19,L1-L106-L107,L1,Retail_Combined,L106 & L107,203
19,L1-L105,L1,Retail,L105,114
19,L1-L104,L1,Retail,L104,224
19,L1-L103,L1,Retail,L103,291
19,L1-L102,L1,Retail,L102,168
19,L1-L101,L1,Retail,L101,497
19,L1-L120B,L1,Retail,L120b,87
19,L1-L120,L1,Retail,L120,246
19,L1-L121,L1,Retail,L121,313
19,L1-L122,L1,Retail,L122,349
19,L1-L123,L1,Retail,L123,350
19,L1-L124,L1,Retail,L124,230
19,L1-L125,L1,Retail,L125,563
19,L1-MOH-L101,L1,Hotel_Service,MOH L101,9
19,L1-MOH-L102,L1,Hotel_Service,MOH L102,100
